actor_id,actor_login,following
85002,jstrunk,*
85007,binho,"2,772,1228,1354,1384,1615,2603,3705,7360,7659,12923,15198,16604,22726,25131,32292,39191,43658,45870,47046,49038,52241,52870,57258,68232,80237,82469,89353,96554,99601,108380,110123,110401,131923,139272,142955,169705,170270,172808,234593,235208,244586,252962,280683,308759,328223,353158,395836,498212,629136,681752,753101,755462,791263,798235,833072,847270,1012459,1013235,1121581,1125431,1650049,1761121,2117192,2237452,2801580,6221298,10103766,11507307,15152540"
85014,garrettgman,*
85017,guillehorno,"3359,4744,54260,73359,102018,184462,262641,369105,372683,794959,1020989,1045608,1750590"
85025,ostastny,*
85037,nkapser,499550
85039,maxpfingsthorn,"120872,205963,1605860,1873955,6775963"
85040,sdownie,"3307,27648,27772,61806,175851,251416,528972,1424198,2428804,4681098"
85041,ryanlanciaux,"21967,30897,35017,61195,85957,90512,102904,118162,144876,155616,357219,386545,387251,527144,610031,631802,900963,1045274,1457701,1538642,1637752,1938520,1940365,2740549,3019562,3833404,3850065,4256076,4590009,4616705,4766244,5869668,5961363,6393946,6786817,7799215,8861426,10039233,13810084,15232461,16429195,19316487"
85043,levibeach,"13041,43812,46275,47046,57603,63131,69234,90112,94016,97088,135844,156469,170479,181025,184731,213275,346311,346914,404858,413777,416920,499550,502359,731885,825855,848177,864073,868690,872219,934322,1126912,1281107,1345335,1383811,1455726,2102406,2124392,2205535,3239582,3676859,3742992,3920290,4084277,4504083,4588060,5269141,5446525,6288566,7929704,8258662,8302525,8886672,8997380,13010268,13173779,15735305,17214574,17358105,20259631,20475953,26462973,31288652,38090386,41175134,42524459"
85047,mcc,"147919,25190487,965463,37779789,31318783,15001883,12994887,5286893,8234207,530887,1911760,13238178,36733620,20723,11820748,5311656,5798480"
85047,mcc,"34726933,147919,25190487,965463,37779789,31318783,15001883,12994887,5286893,8234207,530887,1911760,13238178,36733620,20723,11820748,5311656,5798480"
85051,moswald,"2266946,3987142"
85053,mjbommar,"19950,21294,710255,782538,987057,1503976,1585614,3614016,4084955,4886507,5819534,6100156,6642367,7357389,7683691,9895223,11272850,11445999,12239675,26666267,89478378"
85062,dogmar,"39759,13137072"
85066,vikerman,*
85070,paololim,"1657217,85068,85067,85065,77071,75802,71891,70188,69855,68707,44547,42236,28444,22245,8585"
85080,nkhine,"2322,13041,21679,22655,29862,113540,208756,377206,596769,598037,598796,629429,637333,641289,694774,1073158,1105524,1123322,1126671,1146225,1162146,1186954,1376440,1538669,1667567,2091782,3817697,3958469,5395017,5551094,5695612,13406789,14702823,20851561,25744800,52631853"
85085,tomwhite,"50003,15702"
85090,dwelch91,"119974,188810,275175,787250,960753,1623542,2379334,4983682,10762651,17869024"
85093,RobertKozak,"6612,36863,67258,101858,114173,169999,236470,236959,256046,264070,630306,634175,961569,1123322,1256531,5178939,6377597,6719572,6998507,7589164,8211398,12060844,29150857,39924718"
85097,gasman,*
