Source,Target,Type,Id,Label,timeset,Weight
1,286,Undirected,126,,,4987372
1,287,Undirected,127,,,44
1,288,Undirected,128,,,3894
1,289,Undirected,129,,,1191700
1,290,Undirected,130,,,862098
1,291,Undirected,131,,,5424686
1,293,Undirected,132,,,4695242
1,295,Undirected,133,,,624
1,297,Undirected,134,,,76456
1,301,Undirected,135,,,1995662
1,302,Undirected,136,,,3486
1,303,Undirected,137,,,5631796
1,304,Undirected,138,,,142016
1,305,Undirected,139,,,9349688
1,309,Undirected,140,,,230
1,312,Undirected,141,,,3212488
1,313,Undirected,142,,,43345612
1,315,Undirected,143,,,52
1,317,Undirected,144,,,1750
1,318,Undirected,145,,,352
1,322,Undirected,146,,,212
1,323,Undirected,147,,,20034722
1,324,Undirected,148,,,634
1,326,Undirected,149,,,14629714
1,328,Undirected,150,,,185356
1,330,Undirected,151,,,508
1,335,Undirected,152,,,5624
1,336,Undirected,153,,,12
1,338,Undirected,154,,,5524922
1,339,Undirected,155,,,3305028
1,341,Undirected,156,,,272
1,344,Undirected,157,,,43384
1,346,Undirected,158,,,3022
1,349,Undirected,159,,,24
1,350,Undirected,160,,,437750
1,351,Undirected,161,,,122394
1,356,Undirected,162,,,9058
1,357,Undirected,163,,,1680
1,358,Undirected,164,,,6
1,360,Undirected,165,,,588
1,362,Undirected,166,,,1824
1,363,Undirected,167,,,88
1,364,Undirected,168,,,876
1,365,Undirected,169,,,799622
1,366,Undirected,170,,,240
1,370,Undirected,171,,,1122
1,371,Undirected,172,,,70
1,373,Undirected,173,,,55488
1,374,Undirected,174,,,39918
1,375,Undirected,175,,,33207254
1,382,Undirected,176,,,5822650
1,383,Undirected,177,,,795886
1,387,Undirected,178,,,32
1,390,Undirected,179,,,747070
1,391,Undirected,180,,,68
1,392,Undirected,181,,,120
1,395,Undirected,182,,,2413596
1,397,Undirected,183,,,370
1,400,Undirected,184,,,10768238
1,402,Undirected,185,,,224606
1,404,Undirected,186,,,122
1,405,Undirected,187,,,62
