,actor_id,org_id
1071,5370088,11513530
1072,5370088,4969009
1075,5370088,5830035
1079,5370088,913567
1083,5370088,2232217
1084,5370088,4067082
1097,5370088,4473478
1100,5370088,22479449
1107,5370088,508521
1109,5370088,327752
1111,5370088,18104586
1115,5370088,29281816
1116,5370088,3299148
1125,5370088,19498742
1128,5370088,15937935
1129,5370088,39923875
1133,5370088,16113910
1135,5370088,23080898
1136,5370088,1728142
1142,5370088,22257840
1146,5370088,1088169
1147,5370088,4269340
1166,5370088,69631
1182,5370088,8931462
1186,5370088,17256228
1187,5370088,10974906
1190,5370088,12712530
1192,5370088,11430746
1250,5370107,25749259
1276,5370107,38193973
1291,5370107,53316615
1304,5370115,47556357
1305,5370115,41095225
1306,5370115,29695616
1307,5370115,1961952
1324,5370165,5796209
1369,5370221,3380462
1370,5370221,1961952
1372,5370221,4561226
1375,5370221,30764933
1406,5370269,1961952
1407,5370271,40269642
1421,5370305,33477112
1491,5370305,20269980
1495,5370328,3713852
1514,5370332,40902826
1515,5370332,18461506
1558,5370471,18304793
1606,5370471,55186502
1663,5370495,3774533
1692,5370542,54535603
1751,5370600,21196416
1761,5370609,6937061
1770,5370650,604738
1773,5370656,5332499
1781,5370668,10566080
1789,5370675,17981963
1801,5370675,38818021
1854,5370686,25988288
1856,5370686,28627708
1865,5370690,25759379
1867,5370731,16377432
1869,5370731,19199542
1870,5370736,13889626
1874,5370736,20385259
1879,5370737,17927519
1889,5370752,9343010
1904,5370767,10388449
1906,5370798,35151020
1986,5370832,948920
1998,5370855,20634838
2000,5370855,33584194
2020,5370910,590448
2055,5370937,40870121
2068,5370937,56713226
2076,5371009,39672756
2081,5371025,20116911
2083,5371025,4173184
2084,5371025,19820480
2094,5371052,17335241
2096,5371069,34427376
2127,5371129,11855343
2131,5371204,5022525
2138,5371228,18461506
2140,5371228,4158466
2143,5371260,26325746
2146,5371282,51167834
2148,5371286,14215782
2183,5371354,5273383
2185,5371354,42068324
2202,5371469,13527262
2205,5371481,1342004
2209,5371486,28057349
2215,5371497,4173184
2216,5371497,10536621
2217,5371497,7143434
2218,5371497,25720743
2219,5371497,44914786
2220,5371497,17914481
2225,5371535,29720569
2228,5371538,10371543
2229,5371538,16349663
2231,5371538,20238146
2238,5371565,55934228
2240,5371577,1812827
2241,5371578,5257677
2242,5371578,42357678
2243,5371578,16827203
2244,5371578,962416
2245,5371578,6407041
2246,5371578,11666794
2248,5371578,12054114
2250,5371578,25233216
2251,5371578,27013154
2253,5371578,45790596
2257,5371578,5519636
2264,5371618,3171503
2265,5371618,35529941
2267,5371660,58301
2268,5371660,17118990
2269,5371676,17415943
2334,5371697,43582003
2337,5371700,5371700
2343,5371749,29727115
2362,5371827,22138497
2365,5371884,41948752
2421,5371917,2284875
2427,5372006,15115011
2428,5372006,10049283
2430,5372054,6154722
2434,5372071,37431811
2466,5372128,903590
2467,5372128,6183
2468,5372128,16896263
2469,5372158,18034680
2511,5372216,22168770
2529,5372237,22860722
2532,5372237,1015767
2583,5372249,1696888
2584,5372249,5060045
2618,5372298,566729
2622,5372323,32372333
2636,5372396,30445340
2696,5372424,139426
2699,5372463,6183
2713,5372503,45824478
2762,5372522,33584194
2766,5372546,18436864
2784,5372610,18501020
2786,5372618,870325
2787,5372618,5429470
2788,5372618,8661225
2789,5372618,69631
2794,5372618,9919
2799,5372676,13049122
2804,5372680,6680802
2805,5372680,1342004
2830,5372683,45824433
2831,5372690,4603698
2847,5372700,969675
2853,5372701,8213174
2880,5372706,1384216
2913,5372754,856813
2915,5372762,14101776
2933,5372770,531825
2972,5372770,20667305
2987,5372770,52468242
2989,5372770,29100987
2993,5372770,33763444
2999,5372770,513560
3003,5372780,6906516
3004,5372780,45311580
3008,5372812,43830688
3009,5372828,1950175
3029,5372859,30772201
3034,5372881,1564818
3035,5372881,25334553
3057,5372927,181069
3109,5372940,28145928
3112,5372947,6412038
3117,5372947,1067733
3152,2805043,1920642
3165,2805061,14075148
3169,2805100,8693237
3178,2805129,38242993
3193,2805133,26016421
3204,2805133,57537510
3213,2805161,20912696
3215,2805161,12724356
3219,2805165,14364730
3220,2805165,19538647
3223,2805166,22938150
3225,2805175,1847918
3227,2805194,18707603
3229,2805194,6154722
3230,2805194,17663786
3232,2805194,42048915
3233,2805194,1571470
3234,2805194,45790596
3236,2805206,69631
3240,2805206,24584319
3245,2805206,1778935
3269,2805247,29657251
3288,2805285,26165732
3289,2805285,17564543
3295,2805285,22250860
3298,2805285,53597243
3300,2805290,47001729
3301,2805297,29929674
3302,2805313,541152
3303,2805315,13629408
3309,2805320,10406525
3311,2805320,10069574
3313,2805320,30638520
3317,2805320,48327834
3328,2805366,16116810
3329,2805368,274801
3369,2805401,35203774
3380,2805418,48180874
3384,2805418,50250367
3402,2805436,45824433
3417,2805508,25720743
3419,2805509,317776
3420,2805514,14052955
3429,2805515,7468980
3440,2805515,8897583
3441,2805515,6154722
3444,2805515,44117793
3446,2805515,11897326
3447,2805515,19159390
3451,2805515,33450111
3464,2805586,1812827
3651,2805598,22968555
3660,2805615,35786875
3665,2805621,25243495
3675,2805679,1171011
3679,2805687,34721769
3683,2805687,44036562
3684,2805687,54455882
3685,2805687,29403644
3738,2805720,17788525
3808,2805762,10828168
3822,2805762,45698031
3832,2805804,168376
3835,2805826,13574138
3839,2805826,30426040
3841,2805826,35151645
3919,2805832,16943930
