actor_id	rank
1151	1.6838641700994403e-08
1169	2.5074282797502293e-08
1181	1.3479851894534784e-08
1183	2.1210929124428413e-08
1187	1.3479851894534784e-08
1212	1.8674443740516828e-08
1222	1.3479851894534784e-08
1232	1.3479851894534784e-08
1249	4.41478289261079e-08
1267	2.4098238425238563e-08
1270	1.683314903412871e-08
1299	1.576772185267153e-08
1348	1.3479851894534784e-08
1366	3.730088691003203e-08
1377	2.8626415696956382e-08
1384	1.3479851894534784e-08
1388	2.8576211125739114e-08
1396	4.556744312307679e-08
1428	1.8093620374867892e-08
1430	1.6889530709480693e-08
1452	1.3479851894534784e-08
1472	5.3213694400138216e-08
1486	2.7247185793947108e-08
1497	2.6390137553128665e-08
1510	2.2190847366690784e-08
1512	3.844442344788097e-08
1513	1.5930014938324622e-08
1514	2.9298706331407526e-08
1541	1.6767719167976422e-08
1553	2.731298341378276e-08
1585	3.5048537298471176e-08
1589	3.973821618774163e-08
1610	3.001514003892028e-08
1659	1.759238948601229e-08
1664	2.3220470908048125e-08
1665	1.3479851894534784e-08
1694	6.825842904088518e-08
1743	1.845445413695726e-08
1802	1.3479851894534784e-08
1812	1.6596747208985767e-08
1815	2.310003307310063e-08
1838	2.8954126586647e-08
1850	1.5569761676696716e-08
1880	1.704850547542333e-08
1894	2.3420602789537275e-08
1899	1.6224241423807927e-08
1900	1.7421758931903257e-08
1903	1.642368545583898e-08
1915	2.1842993818086774e-08
1918	6.727280134277244e-08
1930	3.690079828968969e-08
1938	2.5848151473592075e-08
1945	1.9180740944666317e-08
1963	1.7293692612133057e-07
1973	1.3479851894534784e-08
1976	2.8976310227130257e-08
2023	1.3479851894534784e-08
2027	3.14910083513971e-08
2030	1.725037236067634e-08
2040	2.2961209365026976e-08
2066	3.423051573071983e-08
2129	7.581663675678802e-08
2130	1.8886072703210062e-08
2134	1.8585413189037144e-08
2141	2.1920867370664568e-08
2151	2.4238533685218003e-08
2171	1.9703314555565478e-08
2182	1.3479851894534784e-08
2187	1.3479851894534784e-08
2195	1.3479851894534784e-08
2210	1.3479851894534784e-08
2220	1.3479851894534784e-08
2221	1.3479851894534784e-08
2257	1.607251665275422e-08
2289	1.6526643732706788e-08
2320	1.4597049423982194e-07
2338	3.1578487242967106e-08
2341	1.3479851894534784e-08
2367	2.2574464084086552e-08
2371	1.965298787470712e-08
2373	2.4950602886072995e-08
2377	7.360036849813707e-08
2391	1.802077424509124e-08
2438	1.950173878540013e-08
2458	2.6158594870891482e-08
2476	2.545017553780842e-08
2488	2.2992114875898783e-08
2498	1.7341331365311294e-08
2546	1.3479851894534784e-08
2560	2.656681748508866e-08
2567	2.8165748366417855e-08
2571	2.3592699310796977e-08
2603	1.5674989174674667e-08
2607	1.5928599564427413e-08
2619	1.5832890159376804e-08
2621	1.98313398020657e-08
2627	2.07737576029828e-08
2629	2.42488499839585e-08
2630	3.1865473509898816e-08
2644	3.564652012665696e-08
2650	1.6537050871111894e-08
2660	1.3479851894534784e-08
2687	3.5448648521720556e-08
2699	1.7865793492517517e-08
2741	2.5330930149915443e-08
2743	2.506681434383121e-08
2767	2.5364108234821703e-08
2797	2.0204940363722858e-08
2804	2.300193645583217e-08
2808	1.6596882925314877e-08
2827	1.769036053355945e-08
2876	1.3479851894534784e-08
2893	3.62924876835549e-08
2911	1.3479851894534784e-08
2951	1.841922640399862e-08
2977	1.3479851894534784e-08
2988	4.0709460665403466e-08
3001	1.7148206673906047e-07
3012	1.3479851894534784e-08
3014	3.496922022297927e-08
3044	1.718211440864695e-08
3093	2.1229475851778337e-08
3104	1.5061301795870323e-08
3124	2.8751100727956605e-08
3162	1.3479851894534784e-08
3166	2.9602959089324042e-08
3169	1.6885834967058637e-08
3215	1.9008545231445363e-08
3221	1.601949554765743e-08
3231	2.0222746390879292e-08
3248	8.96335717336977e-08
3250	5.308835168926951e-08
3252	3.630925814014209e-08
3261	1.5845291810216763e-08
3267	3.977442089787956e-08
3274	1.9056640248806466e-08
3295	4.087355761255589e-08
3298	1.621812320475821e-08
3300	1.3479851894534784e-08
3303	2.703038388017591e-08
3309	2.6365582837445145e-08
3331	1.857654241490081e-08
3341	4.296187532975945e-08
3342	1.7666889836696574e-08
3346	2.686902084235147e-08
3360	2.2050599124365776e-08
3380	2.1677753768277923e-08
3387	2.134466049727047e-08
3392	1.3479851894534784e-08
3397	1.5732336036152325e-08
3414	1.3479851894534784e-08
3416	6.541905529251833e-08
3438	1.8615373305805557e-08
3461	1.3479851894534784e-08
3487	1.6172745152088468e-08
