actor_id,_c1
75331162,67604
90185126,67574
50875788,67470
35074239,67425
45124381,67340
64120200,67117
49659212,67019
64059023,66989
36785188,66555
28294719,66299
77021077,66073
22765250,65706
85478066,65555
85457281,65494
15089941,65398
5138957,65397
8655789,65326
90455,65087
27334172,64968
96628723,64915
22711553,64821
51386346,64744
11654461,64597
3389926,64545
96629288,64326
41213312,64272
924196,63902
780562,63660
26447601,63508
57287968,62953
57214338,62650
91586996,62562
74838964,62475
83755076,62368
11586312,61992
81279470,61984
66853113,61823
45397632,61552
43823242,61500
88658636,61392
75270573,60780
80700348,60713
58859969,60582
1607653,60076
74659618,59986
12143653,59957
10861600,59891
60806622,59297
79845547,59201
84582697,58541
57991240,58342
48720463,58291
42721094,58129
195327,57989
70074642,57933
25311884,57606
65352637,57462
96647692,57404
63436755,57331
43144390,57232
49041538,57140
3372342,56980
52064115,56931
85194081,56708
40150157,56558
24964592,56121
74861441,55726
68928508,55614
32113157,55607
61737727,55457
67627196,55444
83448236,55327
55035720,55163
94155176,55127
4926661,55092
78531147,54626
88568393,54547
80866295,54438
9599,54185
40893967,54042
56928707,53995
23714726,53989
78342005,53941
15467072,53940
63315252,53846
4945153,53772
79053793,53671
47257959,53643
33356634,53454
7762949,53417
10919270,53344
64808114,53303
6027733,53259
11543329,53143
15250499,52646
8465699,52600
70720687,52592
64280,52287
93977217,52194
95618128,51885
7664655,51773
49419645,51772
26539665,51755
68886720,51722
53967875,51595
53897763,51442
73478111,51333
25993713,51318
85914053,51303
29978587,51287
34748927,51209
78530205,51005
63355234,50937
20686395,50885
55107282,50644
64793534,50639
8862693,50417
1884287,50371
5095603,50361
60357431,50228
1341245,50177
29792991,50038
90539990,49997
86143265,49759
36310445,49737
85436251,49569
87370337,49488
14352721,49339
7829907,49321
90767269,49238
63012359,49203
7258858,49105
10052441,49008
7042,48927
50640090,48892
92217831,48858
59016359,48748
28760461,48670
76601914,48665
72751432,48621
87371090,48568
17919858,48555
38495008,48492
814471,48472
70449885,48392
65356582,48359
79924771,48331
66961337,48258
28925758,48257
26047608,48119
65037553,47946
50668443,47920
1616850,47897
1139984,47891
83200018,47782
47494140,47670
10269519,47583
70029829,47244
45622341,47116
15893131,47021
61964210,47008
779321,46948
64525283,46869
37807150,46860
22955941,46752
90212044,46727
1314104,46595
18484128,46462
878058,46307
74240303,46256
5102591,46090
73522316,45940
67765147,45822
43237426,45666
78590649,45627
1342807,45542
23014506,45506
61859436,45327
59793855,45085
333655,45002
56928326,44980
1317792,44908
3258799,44857
86298622,44839
80954263,44794
54192942,44793
78513119,44681
38494943,44589
63029101,44470
38841491,44444
62434620,44409
23042052,44323
8271327,44210
450800,44153
17621174,43939
70115510,43901
14542386,43889
8108735,43884
37888890,43836
12312,43794
96247668,43709
89621572,43628
14170817,43570
8723280,43479
3355051,43469
20404730,43462
50953976,43459
69854756,43416
82276751,43408
68348203,43381
69163185,43373
57269154,43250
69851316,43230
68583752,43204
69187203,43190
43548581,43176
69162448,43159
69855175,43155
69188439,43107
68583221,43095
69851614,43086
69866111,43028
69853374,43028
46970373,43025
83123032,43005
78590300,43005
69857428,43004
68333272,42998
69164389,42991
94850931,42973
69856965,42966
69188163,42943
68577826,42924
68347161,42919
69866776,42907
69865698,42753
68584155,42723
79186407,42624
51280572,42479
7414255,42460
45367598,42422
13621271,42333
84262413,42325
78468061,42206
57020912,42141
61312044,42110
91048398,42103
62955062,42078
80466187,41900
34854165,41867
79776344,41847
67917390,41774
26448561,41747
69205468,41608
54940324,41460
43543919,41420
26602940,41367
77444784,41343
13925233,41328
90149397,41304
47222911,41133
49941014,41103
79800572,41097
1913638,41086
89386360,41044
41167595,40962
31466760,40913
11707729,40817
21341178,40806
93980767,40488
144884,40435
5726497,40416
52518050,40198
17905150,40144
465279,40112
8356503,40082
57693050,40044
80953740,39967
80117634,39944
20180777,39789
34456920,39772
7061425,39725
88948380,39694
49459593,39692
86194309,39640
3014737,39533
40665208,39400
21304408,39217
69315643,39192
81495637,39160
57032496,39067
70940035,39040
21091736,39031
2467434,38856
63174179,38754
93970120,38749
31006499,38707
26004054,38675
79365184,38600
61011588,38572
76060577,38493
87233236,38470
61076533,38455
72227030,38368
61793729,38334
16387273,38311
84392119,38189
62766270,38131
93969926,38100
76760555,38044
30158981,37953
