repo_id	rank
1217831	3.885967305314186e-09
1223855	3.076284490380428e-05
1234714	2.4079813256231265e-07
1235740	2.5903073979486752e-08
1243685	5.2183919680058276e-05
1257070	5.999894104080152e-08
1257080	6.65614732303654e-08
1257084	9.833933358416108e-08
1257087	1.001879051504023e-07
1258570	4.3576261050532516e-08
1272129	2.4874025191064827e-05
1284185	9.133638497118824e-05
1286805	3.0604386109288404e-08
1300192	5.899294227370252e-08
1301524	2.379142843976508e-09
1301545	2.7990296600257697e-09
1301584	4.911304647356412e-08
1301745	4.508251259302572e-09
1303538	2.0495766359234215e-07
1304738	2.877205817052916e-08
1305114	4.476325764581909e-05
1317650	2.871432042988181e-09
1318892	3.493210646115732e-08
1322284	3.5933480733596516e-09
1325363	2.4499943464620363e-09
1326671	1.53412127048764e-08
1333799	6.052414510700069e-05
1338040	2.1500524740158224e-05
1341741	2.4592068813814723e-09
1348302	2.314405803290975e-09
1352520	4.2823018173900224e-05
1357796	0.00014971500825966338
1358940	2.6900115036089397e-08
1365306	4.789992440775506e-06
1370858	0.00015053020129634088
1374101	5.734574368363975e-05
1377037	9.194049683119241e-07
1377159	9.187423210152536e-08
1381673	0.00015451177962319882
1382478	8.061531271555362e-05
1385122	3.9251618928649917e-07
1385890	6.572226140758925e-05
1390248	4.839609873784249e-05
1391997	1.1544410833794579e-08
1403477	8.14714814255907e-05
1409621	3.535490523661705e-05
1413319	1.5015050244219805e-07
1431547	1.0518052222869268e-07
1438007	3.1073707823014257e-09
1439473	4.05121124068911e-05
1444509	4.4341156132543764e-05
1446467	5.21251066946198e-07
1458461	2.313569687104631e-09
1460385	4.489729352988572e-07
1461942	6.794176163887327e-05
1463490	3.188746896487868e-09
1475808	7.065463458046515e-05
1499620	2.2913713429945914e-09
1511294	6.86254608921855e-05
1512901	3.847854428427294e-05
1514950	0.00015363637421977034
1524644	2.631566130093984e-07
1524684	2.857927157534593e-09
1529160	4.3206473624270506e-06
1529601	5.366392774875217e-05
1548202	6.754096271218922e-06
1564337	1.8619230421863844e-07
1575956	0.00014678635995772111
1576831	6.8902703742378405e-09
1579856	2.7289716872263904e-09
1581769	2.9697348501998414e-07
1599151	4.714802260975986e-05
1613176	6.549974326356967e-07
1616665	5.04484080898997e-05
1630182	2.8085940421620726e-09
1630833	0.0001532473218445764
1630922	8.628112250126039e-05
1632976	7.473930663964842e-09
1632980	2.7564929610582e-09
1644196	6.313696495705201e-07
1660282	2.894714274229624e-09
1663468	8.864229590884296e-05
1690480	6.85564384415763e-05
1691967	8.98647273589313e-08
1695405	6.562539009443298e-05
1725199	1.5573174730590406e-07
1739767	4.293524254272611e-09
1759835	4.67962449755579e-05
1764646	2.786838699622251e-08
1775980	5.721187957210957e-05
1790564	2.9981420242342578e-09
1801829	4.407126044293895e-05
1811965	2.319290368885542e-06
1835758	2.5793290964444073e-09
1836229	8.01705893760893e-06
1837248	4.5560357859063506e-05
1838760	0.00013495785002804925
1839648	6.406717302307572e-05
1847706	2.4898431419496433e-09
1863329	1.761989322266668e-07
1864194	0.00010204879441536068
1864233	9.049315976770222e-05
1864363	1.9566277346397621e-07
1879998	2.9012979663767295e-09
1885237	6.260116491269791e-08
1888697	5.482051163430414e-05
1903522	1.6450618937413594e-07
1905457	6.149107872365258e-05
1911523	1.228696489272845e-07
1916228	9.868801412039986e-09
1917262	8.299274911707448e-08
1918677	5.287217623308814e-06
1920851	5.8660156368341e-07
1921247	2.420588537848463e-07
1922074	4.341273569832908e-08
1922355	6.415470867710225e-08
1925908	5.583516555150337e-08
1926698	1.639634548668367e-08
1931356	2.9986421729453385e-09
1936771	6.693836163705251e-05
1940673	2.958834633707326e-07
1957456	3.028978385181623e-07
1975671	5.425150362903144e-05
1979797	4.678336288844158e-09
1985358	1.1692639540919792e-06
1991863	0.00014654798860354925
1996077	5.847557257967418e-05
1999692	4.887992653190193e-09
2005470	1.580814723206707e-05
2006876	5.7253856727419836e-08
2014929	4.836925831818725e-08
2019791	8.138590225697018e-05
2025357	6.506637202406401e-05
2028724	5.205839968735922e-05
2030681	6.654522057656509e-05
2031428	9.524673025243884e-09
2035393	8.750171578320995e-06
2039147	3.8935438882867676e-05
2045207	1.6938716983738168e-05
2046192	2.9349552783558435e-07
2048269	2.6634423574447972e-08
2050723	4.828590705242048e-05
2051614	6.918238459402755e-05
2055965	2.3581007670187033e-05
2056634	6.578652268587216e-05
2057515	5.563332599723279e-05
2065500	5.70323943181407e-05
2066905	0.00014632348656764478
2067253	2.0373602400773523e-08
2081118	2.982044825983849e-09
2081289	2.703755367770836e-06
2088736	5.5468026321789114e-05
2090979	2.475598355809603e-09
2096579	4.619299271713944e-05
2113067	5.477149011080428e-05
2126244	4.032288907658486e-05
2141186	2.816962106209793e-09
2147447	0.00011287386971652918
2155500	6.436755898614295e-08
2158534	8.43937849183513e-08
2158982	5.50509943146137e-05
2165383	6.60225693798426e-07
2168780	3.5006090964381935e-08
2174666	1.859613077500087e-08
2179920	6.239711340947974e-05
2180736	1.8546352654068323e-08
2193032	3.5081426032652837e-09
2195723	1.1360143554245807e-07
2200856	5.410434992369207e-06
2206199	4.61124715271999e-05
2211243	8.888642334130714e-08
2216249	3.3935866312881966e-09
2218679	2.4875154872965005e-09
2233930	2.5896349905495966e-09
2233998	3.450914013132581e-09
2234863	5.8151438631228814e-08
2263742	3.612108201817555e-05
2270185	6.7159863128851e-05
2276287	3.1636799456137485e-08
2279062	6.171114849366294e-05
2293158	8.647137688592788e-06
2296970	4.7784619597409704e-05
2304962	2.8275063401881217e-09
2310495	4.387339440618858e-05
2317369	2.4102761867986963e-09
2319498	2.1456188741344756e-08
2328181	1.4714845862165133e-08
2331534	4.894074667899921e-05
2339555	2.5998699949282453e-07
2340549	7.207414876245086e-07
2352744	8.932000922870582e-05
2354240	3.1387296365615707e-09
2357859	6.38519251888027e-05
2361853	3.716242031037406e-05
2370458	0.00014645578032841598
2373365	1.7049998589497278e-08
2382336	6.335558271343259e-08
2406783	2.6849865999709767e-09
2410676	1.0049679196077691e-07
2416064	4.5993969012929296e-05
2431562	6.007750828315553e-05
2441517	4.941353511841773e-08
2446718	1.8402464307713915e-08
2451453	2.3018148627413176e-09
2464908	8.039974760291563e-08
2465723	1.01437174715369e-07
2482127	6.038934148470419e-05
2489216	6.603464140517501e-08
2490468	2.2312282176121578e-08
2491877	4.0792468720656335e-05
2504560	7.3905918587726e-05
2505791	9.934377663955654e-08
2516243	3.0603074547489603e-09
2517120	1.0977269894821417e-07
2524488	1.019714047573366e-08
2528254	7.631162033291753e-09
2528278	8.192194067136477e-09
2541284	3.8823176234571916e-05
2544305	3.6568277924137615e-05
2561582	4.7218456771610127e-05
2562873	1.1981178444893177e-08
2565137	4.146843333904244e-05
2567844	6.134774996931845e-08
2570444	2.5014707670586235e-05
2577071	0.00016067090969863946
2594116	1.3203894254528964e-06
2605213	1.172649554714945e-06
2609642	9.140862763393445e-06
2614085	1.928918460523936e-06
2629302	1.001972400924682e-07
2640766	2.5726239131979754e-09
2643878	6.296736253627943e-05
2649214	0.00014654174442359233
2650758	2.665656901935088e-05
2651887	5.0140113793399045e-05
2666698	4.036557721349548e-05
2669041	0.0001467571187509213
2675355	5.840149607824374e-05
2686502	2.7781019583438185e-08
2687013	1.2934826380327517e-07
2690980	4.979406338539631e-05
2691475	6.877484273615995e-08
2698821	3.738301225613653e-09
2699935	3.8688634257355124e-08
2700606	9.969534476378302e-07
2701888	2.851854033303904e-08
2703993	6.055340691120374e-05
2715933	5.980894851627764e-05
2717549	5.237419621648672e-05
2722709	2.7917992963710114e-09
2722720	2.9720712365182258e-09
2724167	3.0720619020629536e-07
2731301	3.931119869978452e-05
2734482	1.8718628115460155e-07
2737689	5.2368264988308684e-05
2750721	7.70245280530402e-06
2751199	7.005002008360055e-05
2752522	0.00012706005273150533
2756704	1.8977913387293525e-05
2767925	2.7011349572869003e-05
2801094	6.34657577255203e-05
2810709	3.841445003441443e-05
2814958	4.2263037624003385e-05
2824643	4.199372192986334e-05
2828239	2.0638666471817836e-08
2835111	5.216319588897858e-07
2854337	5.071794175912131e-08
2870911	4.8023389765571785e-05
2881789	1.1070665509817794e-07
2883574	4.174134693597484e-05
2884111	7.803622711096592e-08
2885533	5.020855173685384e-05
2888818	9.227373672361977e-07
2889328	3.9479692057812256e-08
2899580	4.131978874898343e-05
2907031	9.39675495786068e-09
2928944	1.7649505140479688e-06
2928948	0.00011021725993124374
2932773	3.462844900260019e-05
2938270	4.396834661319139e-08
2944302	3.6192288776793395e-09
2948043	7.579193301265946e-05
2948949	0.0001463261048660907
2954583	4.091509548136688e-05
2960540	2.1241348269311097e-05
2967233	8.068868210549886e-06
2979190	3.872633010220083e-05
2988101	8.566056502535504e-05
2990192	6.768101949619531e-08
2997204	4.259430765819243e-09
3006066	3.239303183141697e-07
3007569	4.487965932320293e-08
3010630	0.00014657734197553462
3016562	4.064342942847339e-05
3030065	4.242786963756053e-08
3034889	2.268424587540387e-06
3035586	1.6337764916477468e-08
3038446	6.205328152522166e-08
3040800	2.100963717192614e-06
3055052	1.218737012919369e-06
3056468	2.2917652056185934e-06
3064573	2.9118806188021804e-09
3097862	5.9202710165583444e-05
3108922	9.066952294194973e-05
3133370	2.3144597660259298e-09
3148979	5.121648625205133e-08
3149845	1.3122036426954156e-07
3156820	3.2925375939469515e-09
3171508	4.316762331944593e-05
3172629	5.263112700083947e-05
3193843	2.4118108756274653e-08
3199002	6.5623078162875155e-09
3214406	6.110791065882567e-05
3217621	1.466430362815305e-08
3228505	4.784349127922607e-05
3234987	0.00015462466913602696
3238243	1.1240705262796202e-07
3245790	5.816578471631581e-05
3254877	2.81392958198566e-09
3257475	7.841747884945663e-09
3277842	2.711252305545173e-07
