actor_id	rank
8460	2.0423226536373167e-06
8461	2.0958288490168032e-07
8463	1.0425091525597188e-05
8465	2.0958288490168032e-07
8467	2.0958288490168032e-07
8519	3.638412501657192e-06
8552	7.709265820513245e-06
8579	2.8908435637769307e-07
8588	2.2835988526485619e-07
8599	3.746595900896877e-05
8616	2.105785541519248e-07
8631	6.708874595076512e-07
8647	2.1484746008827258e-07
8654	6.4062466899137055e-06
8687	2.4276020686092893e-05
8706	4.714695653703444e-06
8739	2.3722609836674512e-07
8752	3.5166858357007246e-06
8780	2.0958288490168032e-07
8839	3.042416664423193e-07
8851	2.0977347647560097e-07
8911	1.1688095938606677e-06
8921	2.0958288490168032e-07
8957	5.0772723594532675e-06
8965	2.136142313324012e-07
8990	4.265654055536367e-06
9012	2.0958288490168032e-07
9030	2.1560654804698868e-07
9111	4.6375022570776264e-06
9132	1.4127268610561613e-05
9152	2.0984614284737046e-07
9209	2.0958288490168032e-07
9212	2.5192313599289824e-06
9213	1.857766370011057e-06
9230	1.6159584561576027e-05
9265	6.676570964376838e-06
9287	2.8814257935897994e-07
9293	2.7932492995966067e-07
9332	2.098870071695476e-07
9347	5.307163306595276e-06
9367	6.726757845040897e-07
9381	3.4261862981546475e-07
9383	6.75319930580884e-06
9426	2.3339460268694117e-06
9451	2.1042174893109908e-07
9466	7.567070617116309e-06
9497	1.638529309288634e-05
9519	9.299978016956491e-07
9541	1.210755213448036e-05
9558	2.5004686633826293e-07
9563	2.4242063763907837e-07
9582	5.75751433164347e-06
9599	2.0958288490168032e-07
9611	1.8859229622091347e-05
9681	9.410503114562742e-06
9707	2.0958288490168032e-07
9766	5.677506956845993e-07
9827	4.8548449746917044e-06
9832	2.0958288490168032e-07
9835	7.160571800163241e-06
9868	5.029538546901235e-07
9888	2.1024980200053756e-07
9895	2.7911156074753306e-06
9900	2.7660616311944794e-05
9906	2.620239500084111e-06
9912	1.990200101826097e-06
9917	2.0903306112776853e-05
9953	2.0958288490168032e-07
9955	2.0958288490168032e-07
9973	4.739069138556524e-05
9993	2.8385856294707715e-07
10018	7.683017927896646e-06
10019	2.1122946925942446e-07
10111	3.31238311984073e-07
10135	2.6250014878126606e-07
10141	4.674499769514002e-05
10144	2.0506584303132076e-05
10151	1.6635927312489965e-05
10152	2.2193594928482623e-05
10190	3.476765519768661e-05
10196	6.2411416349570374e-06
10217	3.7930533813579437e-07
10236	2.3098727876544857e-07
10246	2.9047104586865295e-06
10247	2.0958288490168032e-07
10279	1.493991207465462e-06
10311	3.4394529990732375e-07
10401	2.544869623031802e-07
10508	4.01199245837363e-06
10514	2.0958288490168032e-07
10515	1.8559500114922988e-05
10544	7.325711863712909e-07
10550	2.9743100805405287e-07
10602	1.2764609934747094e-05
10608	8.250253355686784e-06
10621	2.1203758973215927e-07
10627	3.0268406202914765e-05
10643	2.692928271374505e-07
10666	1.2842776504222355e-06
10675	6.788202109710841e-06
10679	7.477799323141828e-07
10766	3.4519480052598176e-07
10806	2.1316679075644415e-07
10812	2.4170129459880408e-05
10818	4.199167129207714e-05
10819	2.030351013482449e-05
10874	1.5509563654601882e-06
10898	2.0958288490168032e-07
10900	2.0958288490168032e-07
10974	2.0958288490168032e-07
10999	2.0908071157540283e-06
11024	3.6735606440958175e-06
11025	2.0958288490168032e-07
11030	2.1137533001699408e-07
11073	5.582400630559634e-06
11074	2.974070979092917e-07
11095	2.0958288490168032e-07
11214	1.9275434195781886e-05
11253	2.2882542265353767e-05
11285	7.638729073842113e-06
11287	4.748868825413258e-05
11307	1.618746177224548e-05
11321	2.149597903090906e-07
11348	2.0958288490168032e-07
11361	1.6259803839558615e-06
11367	6.1667513310800265e-06
11398	2.1924403705869287e-07
11399	2.0958288490168032e-07
11400	3.6574193794467454e-07
11417	2.7666317976964176e-05
11428	8.509347136351229e-06
11440	1.4845934910630459e-06
11460	2.0958288490168032e-07
11484	6.054201671967472e-06
11499	2.5782893181994855e-05
11504	8.480336322099314e-06
11512	4.207364707210561e-05
11513	4.1463601576864414e-06
11521	4.957805939208002e-06
11544	0.00010898099126995325
11567	1.4573482617045743e-05
11575	2.0958288490168032e-07
11589	2.114207979061245e-07
11602	4.42980602870479e-06
11627	2.435706195668227e-05
11673	1.0939326510546671e-05
11710	2.5308841534351915e-07
11747	2.3279637956461162e-05
11753	2.0958288490168032e-07
11782	2.0958288490168032e-07
11801	3.372102021965906e-06
11835	5.8572200439196e-06
11849	7.2958447329955785e-06
11857	1.6356318121136114e-05
11864	3.881146936514608e-06
11865	2.1094316185941343e-07
11875	2.1805941358150963e-07
11878	1.0392883590221021e-05
11917	3.91921830490822e-06
11964	2.0958288490168032e-07
11976	5.1924933895820585e-06
11988	2.9367214533996975e-06
12072	6.149361530486576e-07
12117	2.0958288490168032e-07
12124	2.028671138077295e-06
12149	3.610778497357756e-06
12150	4.622710701861948e-06
12152	2.0969977719678695e-07
12155	3.1707675410871007e-07
12164	3.863976552991963e-05
12192	2.0958288490168032e-07
12235	2.0958288490168032e-07
12266	9.079531605090576e-06
12283	6.851534693826226e-05
12291	3.218851570983006e-05
12301	1.950154543751688e-05
12306	2.0958288490168032e-07
12345	2.0958288490168032e-07
12363	5.174683875773947e-07
12394	2.2634410696683175e-07
12426	2.0958288490168032e-07
12428	2.641370587800995e-05
12431	2.926873792858043e-05
12435	2.2302606060053512e-07
12439	2.0958288490168032e-07
12496	2.2160212669104975e-07
12539	5.3251045554363317e-05
12553	1.5998753280011147e-05
12568	4.5406645669891436e-07
12571	2.046233186851833e-05
12575	6.264018245483852e-07
12581	2.0958288490168032e-07
12584	2.3559241610216478e-07
12637	7.600758915456402e-05
12642	2.673542290180542e-07
12669	2.2691134145441857e-07
12671	2.0958288490168032e-07
12688	2.0706956824134323e-06
12789	2.0958288490168032e-07
12805	2.0958288490168032e-07
12824	2.022200802411906e-05
12833	2.78549550166937e-07
12923	4.780546687213071e-05
12932	1.3022179528842123e-05
12936	2.232690681785209e-07
12992	8.64910094886012e-06
12997	3.174414193440845e-06
13026	8.540314611399322e-06
13040	2.0958288490168032e-07
13096	2.5037481249611866e-07
13122	1.0968316512559208e-06
13203	4.4711790058554534e-05
13209	2.297405900512678e-05
13220	1.6718720598602383e-05
13248	2.827619533407192e-07
13300	4.312354939958193e-05
13301	2.6687103479851887e-07
13312	8.771853872759746e-06
13327	2.0958288490168032e-07
13347	1.4030494539982358e-05
13387	1.8416122934768727e-05
13400	1.8011290836321823e-05
13423	1.910622957649757e-05
13445	2.097998960028974e-07
13452	2.1637788913113327e-07
13502	3.516031203144262e-05
13503	7.209563624495547e-06
13508	1.3429950082591713e-05
13551	2.2363451645902883e-07
13562	2.1387970437713702e-07
13564	4.969503512359988e-07
13633	1.3531856254157033e-05
13697	2.0958288490168032e-07
13713	2.0992375292585007e-07
13717	2.192904902030097e-07
13718	5.240956379912874e-06
13743	2.1319804326524148e-07
13744	2.1046819486432263e-07
13806	2.0958288490168032e-07
13816	1.7092282833618866e-05
13838	1.861343837287221e-05
13877	9.04418698139974e-06
13952	2.3745940932175458e-07
13959	2.104742513899138e-07
13969	2.5966313204829837e-05
13972	4.5828662643898615e-06
13994	2.099120431872395e-07
13995	1.0113455090677632e-05
14009	4.2764566791235556e-06
14028	1.94646325995423e-05
14097	2.493766270626362e-07
14172	2.190560701513337e-06
14175	1.538052383030506e-05
14237	2.853841629003707e-06
14242	3.957587947288378e-07
14244	1.3265128129750163e-05
14278	2.102780762241034e-07
14287	2.0958288490168032e-07
14294	7.745374717678766e-06
14321	2.5262727919810426e-07
14349	2.2087721731215228e-05
14386	2.5814123835634247e-07
14387	1.6891298685503195e-05
14406	2.2633065754499568e-07
14410	3.428419571917152e-05
14412	2.0958288490168032e-07
14461	4.227715480338931e-05
14483	2.0958288490168032e-07
14493	3.316672366694994e-07
14539	1.2709960060161839e-05
14540	2.924085821951197e-06
14606	1.1152520447906769e-05
14610	1.1589607572979299e-05
14639	3.607639977500416e-06
14644	2.3625075403830388e-05
14649	2.0991652080251432e-07
14680	2.0958288490168032e-07
14689	2.0958288490168032e-07
14730	8.155443671131283e-06
14798	2.0958288490168032e-07
14808	2.1340317836575788e-07
14872	1.3526390338164034e-05
14922	3.1270905242698935e-06
14930	3.041393150406077e-05
15000	1.7965273638048568e-06
15001	3.992750176255729e-07
15024	5.726281910691047e-06
15027	4.120704690739961e-06
15072	2.101086013725996e-05
15082	1.833776649968024e-05
15092	6.714864708988057e-06
15102	2.113814025708218e-07
15162	2.026413253994329e-05
15182	1.7522480019400567e-05
15199	9.581924656682877e-07
15209	2.0994063738240297e-07
15224	1.0985515700332754e-05
15332	2.1093364727407185e-07
15348	3.4624239084331473e-07
15364	2.1009631852363412e-07
15377	2.7290945577530753e-07
15484	2.1275019015357056e-07
15487	2.0958288490168032e-07
15543	7.719905820810051e-06
15545	2.1029626356780824e-07
15551	2.0988320541572203e-07
15606	2.2960877039281205e-07
15608	1.748668311734102e-05
15609	7.277701956368748e-06
15615	7.198087299615034e-07
15618	2.484897245371065e-05
15655	2.9952466462781213e-05
15697	2.427991224366427e-06
15709	4.078523945907311e-06
15715	3.067522628572671e-05
15726	4.872418889477195e-06
15727	2.0958288490168032e-07
15759	1.8977315833858996e-05
15763	2.7898515224346917e-05
15793	4.8336841248808806e-05
15811	2.5864972528891063e-06
