,actor_id,issuecomment,openissue,openPR,reviewcomment,mergePR,label,participation_score,code_contribution_score
572,46362180,3.0,2.0,0.0,0.0,0.0,0,7.0,0.0
573,46363205,0.0,2.0,0.0,0.0,0.0,0,4.0,0.0
574,46363693,0.0,0.0,9.0,6.0,6.0,1,0.0,81.0
575,46395989,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
576,46481479,3.0,1.0,0.0,0.0,0.0,0,5.0,0.0
577,46676188,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
578,46680416,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
579,46740794,0.0,0.0,4.0,64.0,3.0,1,0.0,283.0
580,46782768,0.0,0.0,0.0,20.0,0.0,0,0.0,80.0
581,46804044,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
582,46900538,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
583,47050695,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
584,47151829,67.0,4.0,6.0,14.0,3.0,1,75.0,89.0
585,47473673,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
586,47512291,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
587,47514961,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
588,47554610,3.0,0.0,0.0,17.0,0.0,0,3.0,68.0
589,48011716,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
590,48110081,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
591,48111042,1.0,0.0,5.0,0.0,5.0,1,1.0,40.0
592,48168743,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
593,48182083,5.0,0.0,0.0,0.0,0.0,0,5.0,0.0
594,48191911,0.0,0.0,1.0,5.0,0.0,0,0.0,23.0
595,48401621,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
596,48509226,0.0,0.0,2.0,0.0,0.0,0,0.0,6.0
597,48511594,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
598,48513057,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
599,48537650,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
600,48580700,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
601,48672338,3.0,1.0,0.0,0.0,0.0,0,5.0,0.0
602,48790910,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
603,48793257,3.0,0.0,2.0,37.0,0.0,0,3.0,154.0
604,48834029,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
605,48859437,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
606,49090790,0.0,0.0,17.0,12.0,14.0,1,0.0,169.0
607,49190204,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
608,49230821,8.0,0.0,11.0,2.0,5.0,1,8.0,66.0
609,49318890,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
610,49358885,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
611,49387197,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
612,49463907,6.0,0.0,0.0,0.0,0.0,0,6.0,0.0
613,49541471,6.0,1.0,0.0,0.0,0.0,0,8.0,0.0
614,49553288,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
615,49690985,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
616,49851084,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
617,49898781,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
618,49911294,25.0,12.0,0.0,0.0,0.0,0,49.0,0.0
619,49938543,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
620,50003582,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
621,50006064,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
622,50011306,3.0,3.0,0.0,0.0,0.0,0,9.0,0.0
623,50097546,6.0,5.0,0.0,0.0,0.0,0,16.0,0.0
624,50135313,4.0,2.0,0.0,0.0,0.0,0,8.0,0.0
625,50294940,5.0,0.0,0.0,0.0,0.0,0,5.0,0.0
626,50389217,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
627,50394665,35.0,5.0,3.0,0.0,0.0,0,45.0,9.0
628,50474132,2.0,0.0,1.0,0.0,0.0,0,2.0,3.0
629,50647902,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
630,50656048,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
631,50691816,18.0,0.0,3.0,5.0,3.0,1,18.0,44.0
632,50702353,4.0,0.0,0.0,0.0,0.0,0,4.0,0.0
633,50894398,0.0,7.0,0.0,0.0,0.0,0,14.0,0.0
634,50902619,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
635,51010057,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
636,51083814,7.0,1.0,0.0,0.0,0.0,0,9.0,0.0
